time,l,r
2020-03-11 16:22:46.000,1,1
2020-03-11 16:22:46.240,1,1
2020-03-11 16:22:46.500,1,1
2020-03-11 16:22:46.740,1,1
2020-03-11 16:22:47.000,1,1
2020-03-11 16:22:47.240,0,1
2020-03-11 16:22:47.500,1,1
2020-03-11 16:22:47.740,1,1
2020-03-11 16:22:48.000,1,1
2020-03-11 16:22:48.240,0,1
2020-03-11 16:22:48.500,1,1
2020-03-11 16:22:48.740,1,1
2020-03-11 16:22:49.000,1,1
2020-03-11 16:22:49.240,0,1
2020-03-11 16:22:49.500,1,1
2020-03-11 16:22:49.740,1,1
2020-03-11 16:22:50.000,1,1
2020-03-11 16:22:50.240,1,1
2020-03-11 16:22:50.500,0,1
2020-03-11 16:22:50.740,1,1
2020-03-11 16:22:51.000,0,1
2020-03-11 16:22:51.240,1,1
2020-03-11 16:22:51.500,1,1
2020-03-11 16:22:51.740,1,1
2020-03-11 16:22:52.000,0,1
2020-03-11 16:22:52.240,1,1
2020-03-11 16:22:52.500,1,1
2020-03-11 16:22:52.740,1,1
2020-03-11 16:22:53.000,1,1
2020-03-11 16:22:53.240,1,1
2020-03-11 16:22:53.500,1,1
2020-03-11 16:22:53.740,1,1
2020-03-11 16:22:54.000,1,1
2020-03-11 16:22:54.240,1,1
2020-03-11 16:22:54.500,1,0
2020-03-11 16:22:54.740,1,1
2020-03-11 16:22:55.000,1,1
2020-03-11 16:22:55.240,1,1
2020-03-11 16:22:55.500,1,1
2020-03-11 16:22:55.740,1,1
2020-03-11 16:22:56.000,1,0
2020-03-11 16:22:56.240,1,1
2020-03-11 16:22:56.500,1,1
2020-03-11 16:22:56.740,0,0
2020-03-11 16:22:57.000,1,1
2020-03-11 16:22:57.240,1,1
2020-03-11 16:22:57.500,1,1
2020-03-11 16:22:57.740,1,1
2020-03-11 16:22:58.000,0,1
2020-03-11 16:22:58.240,1,0
2020-03-11 16:22:58.500,0,1
2020-03-11 16:22:58.740,1,0
2020-03-11 16:22:59.000,1,1
2020-03-11 16:22:59.240,1,1
2020-03-11 16:22:59.500,1,1
2020-03-11 16:22:59.740,1,1
2020-03-11 16:23:00.000,1,1
2020-03-11 16:23:00.240,1,1
2020-03-11 16:23:00.500,0,1
2020-03-11 16:23:00.740,1,1
2020-03-11 16:23:01.000,1,1
2020-03-11 16:23:01.240,0,0
2020-03-11 16:23:01.500,1,1
2020-03-11 16:23:01.740,1,1
2020-03-11 16:23:02.000,1,1
2020-03-11 16:23:02.240,1,1
2020-03-11 16:23:02.500,1,1
2020-03-11 16:23:02.740,1,1
2020-03-11 16:23:03.000,1,1
2020-03-11 16:23:03.240,1,1
2020-03-11 16:23:03.500,1,0
2020-03-11 16:23:03.740,1,1
2020-03-11 16:23:04.000,1,1
2020-03-11 16:23:04.240,1,1
2020-03-11 16:23:04.500,1,0
2020-03-11 16:23:04.740,0,0
2020-03-11 16:23:05.000,1,1
2020-03-11 16:23:05.240,1,1
2020-03-11 16:23:05.500,1,0
2020-03-11 16:23:05.740,0,1
2020-03-11 16:23:06.000,0,0
2020-03-11 16:23:06.240,1,1
2020-03-11 16:23:06.500,1,1
2020-03-11 16:23:06.740,0,1
2020-03-11 16:23:07.000,1,1
2020-03-11 16:23:07.240,1,1
2020-03-11 16:23:07.500,1,1
2020-03-11 16:23:07.740,0,1
2020-03-11 16:23:08.000,1,1
2020-03-11 16:23:08.240,0,1
2020-03-11 16:23:08.500,0,1
2020-03-11 16:23:08.740,1,1
2020-03-11 16:23:09.000,1,1
2020-03-11 16:23:09.240,1,1
2020-03-11 16:23:09.500,1,1
2020-03-11 16:23:09.740,1,1
2020-03-11 16:23:10.000,1,1
2020-03-11 16:23:10.240,1,1
2020-03-11 16:23:10.500,1,1
2020-03-11 16:23:10.740,1,1
2020-03-11 16:23:11.000,1,1
2020-03-11 16:23:11.240,1,0
2020-03-11 16:23:11.500,1,1
2020-03-11 16:23:11.740,0,1
2020-03-11 16:23:12.000,1,1
2020-03-11 16:23:12.240,0,1
2020-03-11 16:23:12.500,0,1
2020-03-11 16:23:12.740,1,0
2020-03-11 16:23:13.000,1,1
2020-03-11 16:23:13.240,1,1
2020-03-11 16:23:13.500,1,1
2020-03-11 16:23:13.740,0,1
2020-03-11 16:23:14.000,1,0
2020-03-11 16:23:14.240,1,1
2020-03-11 16:23:14.500,1,1
2020-03-11 16:23:14.740,1,1
2020-03-11 16:23:15.000,1,1
2020-03-11 16:23:15.240,1,1
2020-03-11 16:23:15.500,1,1
2020-03-11 16:23:15.740,0,1
2020-03-11 16:23:16.000,1,1
2020-03-11 16:23:16.240,1,0
2020-03-11 16:23:16.500,1,1
2020-03-11 16:23:16.740,1,1
2020-03-11 16:23:17.000,0,1
2020-03-11 16:23:17.240,0,1
2020-03-11 16:23:17.500,1,1
2020-03-11 16:23:17.740,0,1
2020-03-11 16:23:18.000,1,1
2020-03-11 16:23:18.240,1,1
2020-03-11 16:23:18.500,0,1
2020-03-11 16:23:18.740,1,1
2020-03-11 16:23:19.000,0,1
2020-03-11 16:23:19.240,0,1
2020-03-11 16:23:19.500,1,1
2020-03-11 16:23:19.740,1,1
2020-03-11 16:23:20.000,1,1
2020-03-11 16:23:20.240,0,1
2020-03-11 16:23:20.500,1,1
2020-03-11 16:23:20.740,1,1
2020-03-11 16:23:21.000,1,1
2020-03-11 16:23:21.240,1,1
2020-03-11 16:23:21.500,0,1
2020-03-11 16:23:21.740,1,1
2020-03-11 16:23:22.000,1,1
2020-03-11 16:23:22.240,1,1
2020-03-11 16:23:22.500,1,1
2020-03-11 16:23:22.740,0,0
2020-03-11 16:23:23.000,1,1
2020-03-11 16:23:23.240,1,1
2020-03-11 16:23:23.500,1,1
2020-03-11 16:23:23.740,0,0
2020-03-11 16:23:24.000,1,0
2020-03-11 16:23:24.240,0,0
2020-03-11 16:23:24.500,1,1
2020-03-11 16:23:24.740,1,1
2020-03-11 16:23:25.000,1,0
2020-03-11 16:23:25.240,1,0
2020-03-11 16:23:25.500,0,1
2020-03-11 16:23:25.740,1,1
2020-03-11 16:23:26.000,1,1
2020-03-11 16:23:26.240,1,1
2020-03-11 16:23:26.500,0,0
2020-03-11 16:23:26.740,1,1
2020-03-11 16:23:27.000,1,1
2020-03-11 16:23:27.240,0,1
2020-03-11 16:23:27.500,1,1
2020-03-11 16:23:27.740,1,1
2020-03-11 16:23:28.000,1,0
2020-03-11 16:23:28.240,1,1
2020-03-11 16:23:28.500,1,1
2020-03-11 16:23:28.740,1,1
2020-03-11 16:23:29.000,1,1
2020-03-11 16:23:29.240,1,1
2020-03-11 16:23:29.500,1,0
2020-03-11 16:23:29.740,0,1
2020-03-11 16:23:30.000,1,1
2020-03-11 16:23:30.240,1,0
2020-03-11 16:23:30.500,1,1
2020-03-11 16:23:30.740,1,0
2020-03-11 16:23:31.000,1,1
