time,r,iteration
2020-03-11 12:21:55.500,1,0
2020-03-11 12:19:13.000,1,0
2020-03-11 12:22:44.000,1,0
2020-03-18 17:58:55.240,1,0
2020-03-11 12:20:50.500,1,0
2020-03-11 12:25:44.740,1,0
2020-03-18 17:59:04.500,1,0
2020-03-11 12:23:39.500,1,0
2020-03-11 12:19:16.740,1,0
2020-03-11 12:21:49.740,0,0
2020-03-11 12:21:00.740,1,0
2020-03-11 12:23:13.740,1,0
2020-03-11 12:21:53.000,1,0
2020-03-11 12:25:32.740,1,0
2020-03-11 12:19:49.000,1,0
2020-03-18 17:59:08.240,1,0
2020-03-11 12:20:44.000,1,0
2020-03-11 12:22:59.740,1,0
2020-03-11 12:23:34.500,1,0
2020-03-11 12:24:10.000,1,0
2020-03-11 12:21:53.240,1,0
2020-03-11 12:21:54.000,1,0
2020-03-11 12:25:27.240,1,0
2020-03-11 12:22:41.740,1,0
2020-03-11 12:21:55.240,1,0
2020-03-11 12:20:59.500,1,0
2020-03-11 12:19:16.500,1,0
2020-03-11 12:25:52.960,1,0
2020-03-11 12:23:11.740,1,0
2020-03-11 12:23:03.000,1,0
2020-03-18 17:59:04.740,1,0
2020-03-11 12:23:08.740,1,0
2020-03-11 12:23:08.240,1,0
2020-03-11 12:25:46.740,1,0
2020-03-11 12:22:43.000,1,0
2020-03-11 12:21:13.240,1,0
2020-03-11 12:23:34.740,1,0
2020-03-11 12:24:06.740,1,0
2020-03-11 12:23:35.240,1,0
2020-03-11 12:19:51.240,1,0
2020-03-11 12:21:02.740,1,0
2020-03-11 12:25:45.500,1,0
2020-03-11 12:19:52.240,1,0
2020-03-11 12:19:40.740,1,0
2020-03-11 12:19:31.500,1,0
2020-03-11 12:23:18.000,1,0
2020-03-11 12:22:44.740,1,0
2020-03-11 12:19:32.000,1,0
2020-03-11 12:21:31.740,1,0
2020-03-11 12:21:44.240,1,0
2020-03-18 17:58:53.500,1,0
2020-03-11 12:19:33.240,1,0
2020-03-11 12:21:30.240,1,0
2020-03-11 12:23:57.740,1,0
2020-03-11 12:20:52.000,1,0
2020-03-11 12:19:33.740,1,0
2020-03-11 12:25:29.500,1,0
2020-03-11 12:20:39.740,1,0
2020-03-18 17:58:51.240,1,0
2020-03-11 12:21:49.500,0,0
2020-03-11 12:23:06.000,1,0
2020-03-11 12:21:08.000,1,0
2020-03-11 12:25:56.500,1,0
2020-03-11 12:23:45.000,1,0
2020-03-11 12:23:47.740,1,0
2020-03-11 12:20:47.500,1,0
2020-03-18 17:59:05.500,1,0
2020-03-11 12:19:37.740,1,0
2020-03-18 17:59:00.240,1,0
2020-03-11 12:22:30.240,1,0
2020-03-11 12:25:50.740,1,0
2020-03-11 12:21:05.240,1,0
2020-03-11 12:24:09.500,1,0
2020-03-11 12:23:45.500,1,0
2020-03-18 17:58:47.740,1,0
2020-03-11 12:23:35.740,1,0
2020-03-18 17:59:13.600,1,0
2020-03-11 12:22:15.740,1,0
2020-03-11 12:25:34.500,1,0
2020-03-11 12:19:45.740,1,0
2020-03-11 12:23:58.240,1,0
2020-03-11 12:23:36.000,1,0
2020-03-11 12:20:18.000,1,0
2020-03-11 12:21:15.000,1,0
2020-03-11 12:23:55.740,1,0
2020-03-11 12:22:06.240,0,0
2020-03-11 12:23:15.000,1,0
2020-03-11 12:21:43.240,1,0
2020-03-11 12:23:43.240,1,0
2020-03-11 12:19:52.000,1,0
2020-03-11 12:21:59.000,1,0
2020-03-18 17:59:00.400,1,0
2020-03-18 17:58:56.000,1,0
2020-03-11 12:23:12.000,1,0
2020-03-18 17:58:58.740,1,0
2020-03-11 12:21:35.500,1,0
2020-03-11 12:20:58.000,1,0
2020-03-11 12:20:17.500,1,0
2020-03-11 12:23:11.000,1,0
2020-03-11 12:20:47.000,1,0
2020-03-11 12:25:33.740,1,0
2020-03-11 12:19:25.240,1,0
2020-03-11 12:22:45.500,1,0
2020-03-11 12:21:55.740,1,0
2020-03-11 12:19:10.240,1,0
2020-03-11 12:22:01.000,1,0
2020-03-11 12:23:56.000,1,0
2020-03-11 12:22:16.000,1,0
2020-03-11 12:21:13.000,1,0
2020-03-11 12:21:04.500,1,0
2020-03-11 12:23:45.240,1,0
2020-03-11 12:19:12.000,1,0
2020-03-11 12:23:55.500,1,0
2020-03-11 12:23:55.240,1,0
2020-03-11 12:19:08.000,1,0
2020-03-11 12:25:28.240,1,0
2020-03-11 12:19:26.740,1,0
2020-03-11 12:19:34.740,1,0
2020-03-11 12:19:25.000,1,0
2020-03-18 17:59:07.240,1,0
2020-03-11 12:21:39.240,1,0
2020-03-11 12:25:29.000,1,0
2020-03-11 12:23:01.240,1,0
2020-03-11 12:20:54.000,1,0
2020-03-11 12:19:27.240,1,0
2020-03-11 12:21:35.240,1,0
2020-03-11 12:23:43.000,1,0
2020-03-11 12:25:34.240,1,0
2020-03-11 16:24:03.000,1,1
2020-03-11 16:26:02.000,1,1
2020-03-11 16:26:34.500,1,1
2020-03-11 16:22:39.740,1,1
2020-03-11 16:24:03.740,1,1
2020-03-11 16:25:43.500,1,1
2020-03-11 16:23:07.000,1,1
2020-03-11 16:23:05.740,1,1
2020-03-11 16:23:55.740,1,1
2020-03-11 16:23:27.000,0,1
2020-03-11 16:22:41.240,1,1
2020-03-11 16:26:13.240,1,1
2020-03-11 16:22:05.000,1,1
2020-03-11 17:05:44.500,1,1
2020-03-11 16:26:10.240,1,1
2020-03-11 17:05:39.740,1,1
2020-03-11 16:21:56.500,1,1
2020-03-11 16:22:45.240,1,1
2020-03-11 16:22:40.240,1,1
2020-03-11 16:26:28.500,1,1
