,time,l,r
380,2020-03-11 16:22:56.240,1,1
381,2020-03-11 16:22:56.500,1,1
382,2020-03-11 16:22:56.740,1,1
383,2020-03-11 16:22:57.000,1,1
384,2020-03-11 16:22:57.240,1,1
385,2020-03-11 16:22:57.500,0,1
386,2020-03-11 16:22:57.740,0,1
387,2020-03-11 16:22:58.000,1,1
388,2020-03-11 16:22:58.240,1,1
389,2020-03-11 16:22:58.500,1,1
390,2020-03-11 16:22:58.740,0,1
391,2020-03-11 16:22:59.000,1,1
392,2020-03-11 16:22:59.240,1,1
393,2020-03-11 16:22:59.500,1,1
394,2020-03-11 16:22:59.740,1,1
395,2020-03-11 16:23:00.000,1,1
396,2020-03-11 16:23:00.240,1,1
397,2020-03-11 16:23:00.500,1,1
398,2020-03-11 16:23:00.740,1,1
399,2020-03-11 16:23:01.000,1,1
400,2020-03-11 16:23:01.240,1,1
401,2020-03-11 16:23:01.500,0,1
402,2020-03-11 16:23:01.740,1,1
403,2020-03-11 16:23:02.000,0,1
404,2020-03-11 16:23:02.240,1,1
405,2020-03-11 16:23:02.500,1,1
406,2020-03-11 16:23:02.740,1,1
407,2020-03-11 16:23:03.000,1,1
408,2020-03-11 16:23:03.240,0,1
409,2020-03-11 16:23:03.500,1,1
410,2020-03-11 16:23:03.740,1,1
411,2020-03-11 16:23:04.000,0,1
412,2020-03-11 16:23:04.240,0,1
413,2020-03-11 16:23:04.500,0,1
414,2020-03-11 16:23:04.740,0,1
415,2020-03-11 16:23:05.000,0,1
416,2020-03-11 16:23:05.240,0,1
417,2020-03-11 16:23:05.500,0,1
418,2020-03-11 16:23:05.740,0,1
419,2020-03-11 16:23:06.000,1,1
420,2020-03-11 16:23:06.240,0,1
421,2020-03-11 16:23:06.500,0,1
422,2020-03-11 16:23:06.740,0,1
423,2020-03-11 16:23:07.000,0,1
424,2020-03-11 16:23:07.240,0,1
425,2020-03-11 16:23:07.500,0,1
426,2020-03-11 16:23:07.740,0,1
427,2020-03-11 16:23:08.000,0,1
428,2020-03-11 16:23:08.240,0,1
429,2020-03-11 16:23:08.500,0,1
430,2020-03-11 16:23:08.740,0,1
431,2020-03-11 16:23:09.000,0,1
432,2020-03-11 16:23:09.240,0,1
433,2020-03-11 16:23:09.500,0,1
434,2020-03-11 16:23:09.740,0,1
435,2020-03-11 16:23:10.000,0,1
436,2020-03-11 16:23:10.240,0,1
437,2020-03-11 16:23:10.500,0,1
438,2020-03-11 16:23:10.740,0,1
439,2020-03-11 16:23:11.000,0,1
440,2020-03-11 16:23:11.240,0,1
441,2020-03-11 16:23:11.500,0,1
442,2020-03-11 16:23:11.740,0,1
443,2020-03-11 16:23:12.000,0,1
444,2020-03-11 16:23:12.240,0,1
445,2020-03-11 16:23:12.500,0,1
446,2020-03-11 16:23:12.740,0,1
447,2020-03-11 16:23:13.000,1,1
448,2020-03-11 16:23:13.240,1,1
449,2020-03-11 16:23:13.500,1,1
450,2020-03-11 16:23:13.740,1,1
451,2020-03-11 16:23:14.000,1,1
452,2020-03-11 16:23:14.240,1,0
453,2020-03-11 16:23:14.500,1,1
454,2020-03-11 16:23:14.740,1,1
455,2020-03-11 16:23:15.000,1,1
456,2020-03-11 16:23:15.240,0,1
457,2020-03-11 16:23:15.500,1,1
458,2020-03-11 16:23:15.740,1,1
459,2020-03-11 16:23:16.000,0,1
460,2020-03-11 16:23:16.240,1,1
461,2020-03-11 16:23:16.500,0,1
462,2020-03-11 16:23:16.740,0,1
463,2020-03-11 16:23:17.000,1,1
464,2020-03-11 16:23:17.240,1,1
465,2020-03-11 16:23:17.500,0,1
466,2020-03-11 16:23:17.740,0,1
467,2020-03-11 16:23:18.000,0,1
468,2020-03-11 16:23:18.240,1,1
469,2020-03-11 16:23:18.500,1,1
470,2020-03-11 16:23:18.740,1,1
471,2020-03-11 16:23:19.000,1,1
472,2020-03-11 16:23:19.240,1,1
473,2020-03-11 16:23:19.500,1,1
474,2020-03-11 16:23:19.740,1,1
475,2020-03-11 16:23:20.000,1,1
476,2020-03-11 16:23:20.240,1,1
477,2020-03-11 16:23:20.500,1,1
478,2020-03-11 16:23:20.740,1,1
479,2020-03-11 16:23:21.000,1,1
480,2020-03-11 16:23:21.240,1,1
481,2020-03-11 16:23:21.500,1,1
482,2020-03-11 16:23:21.740,1,1
483,2020-03-11 16:23:22.000,1,1
484,2020-03-11 16:23:22.240,1,1
485,2020-03-11 16:23:22.500,1,1
486,2020-03-11 16:23:22.740,1,1
487,2020-03-11 16:23:23.000,1,1
488,2020-03-11 16:23:23.240,1,1
489,2020-03-11 16:23:23.500,1,0
490,2020-03-11 16:23:23.740,1,1
491,2020-03-11 16:23:24.000,1,1
492,2020-03-11 16:23:24.240,1,1
493,2020-03-11 16:23:24.500,1,1
494,2020-03-11 16:23:24.740,1,1
495,2020-03-11 16:23:25.000,1,1
496,2020-03-11 16:23:25.240,1,1
497,2020-03-11 16:23:25.500,1,1
498,2020-03-11 16:23:25.740,1,0
499,2020-03-11 16:23:26.000,1,1
500,2020-03-11 16:23:26.240,1,0
501,2020-03-11 16:23:26.500,1,1
502,2020-03-11 16:23:26.740,1,1
503,2020-03-11 16:23:27.000,1,0
504,2020-03-11 16:23:27.240,1,0
505,2020-03-11 16:23:27.500,1,1
506,2020-03-11 16:23:27.740,1,1
507,2020-03-11 16:23:28.000,1,1
508,2020-03-11 16:23:28.240,1,0
509,2020-03-11 16:23:28.500,1,1
510,2020-03-11 16:23:28.740,1,1
511,2020-03-11 16:23:29.000,1,1
512,2020-03-11 16:23:29.240,0,1
513,2020-03-11 16:23:29.500,0,1
514,2020-03-11 16:23:29.740,0,1
515,2020-03-11 16:23:30.000,0,1
516,2020-03-11 16:23:30.240,1,1
517,2020-03-11 16:23:30.500,1,1
518,2020-03-11 16:23:30.740,0,1
519,2020-03-11 16:23:31.000,0,1
520,2020-03-11 16:23:31.240,0,1
521,2020-03-11 16:23:31.500,1,1
522,2020-03-11 16:23:31.740,1,1
523,2020-03-11 16:23:32.000,1,1
524,2020-03-11 16:23:32.240,1,1
525,2020-03-11 16:23:32.500,1,1
526,2020-03-11 16:23:32.740,1,1
527,2020-03-11 16:23:33.000,1,1
528,2020-03-11 16:23:33.240,1,1
529,2020-03-11 16:23:33.500,1,1
530,2020-03-11 16:23:33.740,1,1
531,2020-03-11 16:23:34.000,1,1
532,2020-03-11 16:23:34.240,0,1
533,2020-03-11 16:23:34.500,1,1
534,2020-03-11 16:23:34.740,1,1
535,2020-03-11 16:23:35.000,0,1
536,2020-03-11 16:23:35.240,0,1
537,2020-03-11 16:23:35.500,1,1
538,2020-03-11 16:23:35.740,1,1
539,2020-03-11 16:23:36.000,1,1
540,2020-03-11 16:23:36.240,1,1
541,2020-03-11 16:23:36.500,1,1
542,2020-03-11 16:23:36.740,1,1
543,2020-03-11 16:23:37.000,1,1
544,2020-03-11 16:23:37.240,0,1
545,2020-03-11 16:23:37.500,1,1
546,2020-03-11 16:23:37.740,1,1
547,2020-03-11 16:23:38.000,1,1
548,2020-03-11 16:23:38.240,1,1
549,2020-03-11 16:23:38.500,1,1
550,2020-03-11 16:23:38.740,1,1
551,2020-03-11 16:23:39.000,1,1
552,2020-03-11 16:23:39.240,1,1
553,2020-03-11 16:23:39.500,1,1
554,2020-03-11 16:23:39.740,1,1
555,2020-03-11 16:23:40.000,1,1
556,2020-03-11 16:23:40.240,1,1
557,2020-03-11 16:23:40.500,1,1
558,2020-03-11 16:23:40.740,1,1
559,2020-03-11 16:23:41.000,1,1
560,2020-03-11 16:23:41.240,1,1
561,2020-03-11 16:23:41.500,1,1
562,2020-03-11 16:23:41.740,1,1
563,2020-03-11 16:23:42.000,1,1
564,2020-03-11 16:23:42.240,1,1
565,2020-03-11 16:23:42.500,1,1
566,2020-03-11 16:23:42.740,1,1
567,2020-03-11 16:23:43.000,1,1
568,2020-03-11 16:23:43.240,1,1
569,2020-03-11 16:23:43.500,1,1
570,2020-03-11 16:23:43.740,1,1
571,2020-03-11 16:23:44.000,1,1
572,2020-03-11 16:23:44.240,1,1
573,2020-03-11 16:23:44.500,1,1
574,2020-03-11 16:23:44.740,1,1
575,2020-03-11 16:23:45.000,1,1
576,2020-03-11 16:23:45.240,1,1
577,2020-03-11 16:23:45.500,1,1
578,2020-03-11 16:23:45.740,1,1
579,2020-03-11 16:23:46.000,1,1
580,2020-03-11 16:23:46.240,1,1
581,2020-03-11 16:23:46.500,1,1
582,2020-03-11 16:23:46.740,1,1
583,2020-03-11 16:23:47.000,1,1
584,2020-03-11 16:23:47.240,1,1
585,2020-03-11 16:23:47.500,1,1
586,2020-03-11 16:23:47.740,1,1
587,2020-03-11 16:23:48.000,1,1
588,2020-03-11 16:23:48.240,1,1
589,2020-03-11 16:23:48.500,1,1
590,2020-03-11 16:23:48.740,0,1
591,2020-03-11 16:23:49.000,1,1
592,2020-03-11 16:23:49.240,1,1
593,2020-03-11 16:23:49.500,1,1
594,2020-03-11 16:23:49.740,1,1
595,2020-03-11 16:23:50.000,1,1
596,2020-03-11 16:23:50.240,1,0
597,2020-03-11 16:23:50.500,1,1
598,2020-03-11 16:23:50.740,1,1
599,2020-03-11 16:23:51.000,1,1
600,2020-03-11 16:23:51.240,1,1
601,2020-03-11 16:23:51.500,1,1
602,2020-03-11 16:23:51.740,1,1
603,2020-03-11 16:23:52.000,1,1
604,2020-03-11 16:23:52.240,1,1
605,2020-03-11 16:23:52.500,1,1
606,2020-03-11 16:23:52.740,1,1
607,2020-03-11 16:23:53.000,1,1
608,2020-03-11 16:23:53.240,1,1
609,2020-03-11 16:23:53.500,1,1
610,2020-03-11 16:23:53.740,1,1
611,2020-03-11 16:23:54.000,1,1
612,2020-03-11 16:23:54.240,1,1
613,2020-03-11 16:23:54.500,1,1
614,2020-03-11 16:23:54.740,1,1
615,2020-03-11 16:23:55.000,1,1
616,2020-03-11 16:23:55.240,1,1
617,2020-03-11 16:23:55.500,1,1
618,2020-03-11 16:23:55.740,1,1
619,2020-03-11 16:23:56.000,1,1
620,2020-03-11 16:23:56.240,1,1
621,2020-03-11 16:23:56.500,1,1
622,2020-03-11 16:23:56.740,1,1
623,2020-03-11 16:23:57.000,1,1
624,2020-03-11 16:23:57.240,1,1
625,2020-03-11 16:23:57.500,0,1
626,2020-03-11 16:23:57.740,1,1
627,2020-03-11 16:23:58.000,1,1
628,2020-03-11 16:23:58.240,1,1
629,2020-03-11 16:23:58.500,1,1
630,2020-03-11 16:23:58.740,1,1
631,2020-03-11 16:23:59.000,1,1
632,2020-03-11 16:23:59.240,1,1
633,2020-03-11 16:23:59.500,1,1
634,2020-03-11 16:23:59.740,1,1
635,2020-03-11 16:24:00.000,1,1
636,2020-03-11 16:24:00.240,1,1
637,2020-03-11 16:24:00.500,1,1
638,2020-03-11 16:24:00.740,0,1
639,2020-03-11 16:24:01.000,1,1
640,2020-03-11 16:24:01.240,1,1
641,2020-03-11 16:24:01.500,1,1
642,2020-03-11 16:24:01.740,1,1
643,2020-03-11 16:24:02.000,1,1
644,2020-03-11 16:24:02.240,1,1
645,2020-03-11 16:24:02.500,1,1
646,2020-03-11 16:24:02.740,1,1
647,2020-03-11 16:24:03.000,1,1
648,2020-03-11 16:24:03.240,1,1
649,2020-03-11 16:24:03.500,1,1
650,2020-03-11 16:24:03.740,1,1
651,2020-03-11 16:24:04.000,1,1
652,2020-03-11 16:24:04.240,1,1
653,2020-03-11 16:24:04.500,1,1
654,2020-03-11 16:24:04.740,1,1
655,2020-03-11 16:24:05.000,1,1
656,2020-03-11 16:24:05.240,1,1
657,2020-03-11 16:24:05.500,1,1
658,2020-03-11 16:24:05.740,1,1
659,2020-03-11 16:24:06.000,1,1
660,2020-03-11 16:24:06.240,1,1
661,2020-03-11 16:24:06.500,1,1
662,2020-03-11 16:24:06.740,1,1
663,2020-03-11 16:24:07.000,1,1
664,2020-03-11 16:24:07.240,1,1
