time,l,r
2019-11-15 16:32:42.240,1,1
2019-11-15 16:32:42.500,1,1
2019-11-15 16:32:42.740,1,1
2019-11-15 16:32:43.000,1,1
2019-11-15 16:32:43.240,1,1
2019-11-15 16:32:43.500,1,1
2019-11-15 16:32:43.740,1,1
2019-11-15 16:32:44.000,1,1
2019-11-15 16:32:44.240,1,1
2019-11-15 16:32:44.500,1,1
2019-11-15 16:32:44.740,1,1
2019-11-15 16:32:45.000,1,1
2019-11-15 16:32:45.240,1,1
2019-11-15 16:32:45.500,1,1
2019-11-15 16:32:45.740,1,1
2019-11-15 16:32:46.000,1,1
2019-11-15 16:32:46.240,1,1
2019-11-15 16:32:46.500,1,1
2019-11-15 16:32:46.740,1,1
2019-11-15 16:32:47.000,1,1
2019-11-15 16:32:47.240,1,1
2019-11-15 16:32:47.500,1,1
2019-11-15 16:32:47.740,1,1
2019-11-15 16:32:48.000,1,0
2019-11-15 16:32:48.240,1,0
2019-11-15 16:32:48.500,1,1
2019-11-15 16:32:48.740,1,1
2019-11-15 16:32:49.000,1,0
2019-11-15 16:32:49.240,1,0
2019-11-15 16:32:49.500,1,0
2019-11-15 16:32:49.740,1,1
2019-11-15 16:32:50.000,1,0
2019-11-15 16:32:50.240,1,0
2019-11-15 16:32:50.500,1,0
2019-11-15 16:32:50.740,1,1
2019-11-15 16:32:51.000,1,1
2019-11-15 16:32:51.240,1,1
2019-11-15 16:32:51.500,1,1
2019-11-15 16:32:51.740,1,1
2019-11-15 16:32:52.000,1,1
2019-11-15 16:32:52.240,1,1
2019-11-15 16:32:52.500,1,1
2019-11-15 16:32:52.740,1,1
2019-11-15 16:32:53.000,1,1
2019-11-15 16:32:53.240,1,1
2019-11-15 16:32:53.500,1,1
2019-11-15 16:32:53.740,1,1
2019-11-15 16:32:54.000,1,1
2019-11-15 16:32:54.240,1,1
2019-11-15 16:32:54.500,1,1
2019-11-15 16:32:54.740,1,1
2019-11-15 16:32:55.000,1,1
2019-11-15 16:32:55.240,1,1
2019-11-15 16:32:55.500,1,1
2019-11-15 16:32:55.740,1,1
2019-11-15 16:32:56.000,1,1
2019-11-15 16:32:56.240,1,1
2019-11-15 16:32:56.500,1,1
2019-11-15 16:32:56.740,1,1
2019-11-15 16:32:57.000,1,1
2019-11-15 16:32:57.240,1,1
2019-11-15 16:32:57.500,1,1
2019-11-15 16:32:57.740,1,1
2019-11-15 16:32:58.000,1,1
