time,l,iteration
2019-11-25 16:50:07.000,0,0
2019-11-25 16:59:29.500,0,0
2019-11-25 16:59:51.240,0,0
2019-11-25 16:57:03.500,0,0
2019-11-25 16:54:54.000,0,0
2019-11-25 17:00:15.000,0,0
2019-11-25 16:49:48.740,1,0
2019-11-25 16:58:47.500,0,0
2019-11-25 16:52:26.000,0,0
2019-11-25 16:55:16.000,1,0
2019-11-25 16:49:42.500,0,0
2019-11-25 16:53:31.500,0,0
2019-11-25 16:58:03.500,0,0
2019-11-25 16:52:26.740,0,0
2019-11-25 16:54:13.500,0,0
2019-11-25 16:56:58.740,1,0
2019-11-25 16:52:45.500,1,0
2019-11-25 16:48:53.000,1,0
2019-11-25 16:58:00.740,0,0
2019-11-25 16:57:05.240,0,0
2019-11-25 16:56:09.000,0,0
2019-11-25 16:53:27.000,1,0
2019-11-25 16:59:50.740,0,0
2019-11-25 16:57:24.240,0,0
2019-11-25 17:00:42.740,0,0
2019-11-25 16:59:56.240,0,0
2019-11-25 16:52:58.240,0,0
2019-11-25 16:48:52.240,1,0
2019-11-25 16:54:20.500,0,0
2019-11-25 16:52:54.740,0,0
2019-11-25 16:59:17.500,0,0
2019-11-25 16:55:50.240,0,0
2019-11-25 16:47:07.500,0,0
2019-11-25 16:52:49.240,1,0
2019-11-25 16:52:58.740,0,0
2019-11-25 16:55:41.500,0,0
2019-11-25 16:57:17.240,0,0
2019-11-25 16:57:21.240,0,0
2019-11-25 16:53:19.000,0,0
2019-11-25 17:00:37.500,0,0
2019-11-25 16:57:44.000,0,0
2019-11-25 16:53:36.240,1,0
2019-11-25 16:55:38.240,1,0
2019-11-25 16:52:55.740,0,0
2019-11-25 16:58:33.740,0,0
2019-11-25 16:56:01.000,0,0
2019-11-25 16:54:26.500,0,0
2019-11-25 16:55:11.500,0,0
2019-11-25 16:49:56.740,0,0
2019-11-25 16:55:25.740,1,0
2019-11-25 16:56:55.000,1,0
2019-11-25 16:52:57.500,0,0
2019-11-25 16:49:04.500,1,0
2019-11-25 16:55:09.000,0,0
2019-11-25 16:52:16.500,0,0
2019-11-25 16:59:57.240,0,0
2019-11-25 16:53:37.500,1,0
2019-11-25 17:00:42.240,0,0
2019-11-25 16:52:32.240,1,0
2019-11-25 16:54:46.240,0,0
2019-11-25 16:52:31.740,1,0
2019-11-25 16:56:18.000,0,0
2019-11-25 16:57:41.740,0,0
2019-11-25 16:52:13.000,0,0
2019-11-25 16:50:04.500,0,0
2019-11-25 17:00:28.000,0,0
2019-11-25 16:52:47.000,0,0
2019-11-25 16:52:27.500,0,0
2019-11-25 16:50:20.000,0,0
2019-11-25 16:54:58.740,1,0
2019-11-25 17:00:46.000,0,0
2019-11-25 16:52:54.240,0,0
2019-11-25 16:57:23.500,0,0
2019-11-25 16:54:54.740,0,0
2019-11-25 16:50:07.500,0,0
2019-11-25 16:56:28.240,0,0
2019-11-25 16:47:24.240,1,0
2019-11-25 17:00:06.500,1,0
2019-11-25 16:55:41.000,0,0
2019-11-25 16:57:56.740,0,0
2019-11-25 17:00:01.240,0,0
2019-11-25 16:58:49.500,1,0
2019-11-25 16:48:33.240,0,0
2019-11-25 16:48:21.500,1,0
2019-11-25 16:53:20.240,1,0
2019-11-25 16:56:33.740,1,0
2019-11-25 16:56:58.500,0,0
2019-11-25 16:58:32.000,0,0
2019-11-25 16:55:47.000,0,0
2019-11-25 16:59:10.500,0,0
2019-11-25 16:55:52.740,0,0
2019-11-25 17:00:13.500,0,0
2019-11-25 16:48:02.000,1,0
2019-11-25 16:54:34.000,1,0
2019-11-25 16:54:35.240,0,0
2019-11-25 16:53:05.240,1,0
2019-11-25 16:49:45.740,1,0
2019-11-25 16:50:07.740,1,0
2019-11-25 16:47:20.740,0,0
2019-11-25 17:00:35.240,0,0
2019-11-25 16:57:52.740,0,0
2019-11-25 16:56:01.240,0,0
2019-11-25 16:56:14.500,0,0
2019-11-25 16:56:20.240,0,0
2019-11-25 16:55:56.240,0,0
2019-11-25 17:00:37.000,0,0
2019-11-25 16:50:21.500,0,0
2019-11-25 17:00:07.500,0,0
2019-11-25 16:55:59.500,0,0
2019-11-25 16:57:23.000,0,0
2019-11-25 16:48:30.740,1,0
2019-11-25 16:54:17.240,0,0
2019-11-25 16:47:51.500,1,0
2019-11-25 17:00:14.240,0,0
2019-11-25 16:58:43.740,0,0
2019-11-25 16:56:26.000,0,0
2019-11-25 16:50:06.240,0,0
2019-11-25 16:57:39.500,0,0
2019-11-25 16:49:05.000,1,0
2019-11-25 17:00:23.000,0,0
2019-11-25 16:57:32.240,1,0
2019-11-25 16:47:16.740,0,0
2019-11-25 16:59:29.240,0,0
