time,r,iteration
2019-11-25 16:50:05.240,1,0
2019-11-25 16:47:46.240,0,0
2019-11-25 16:47:55.500,0,0
2019-11-25 16:59:58.240,1,0
2019-11-25 17:00:44.500,1,0
2019-11-25 17:00:26.740,1,0
2019-11-25 16:50:16.240,1,0
2019-11-25 16:48:40.000,1,0
2019-11-25 16:58:05.240,1,0
2019-11-25 16:57:49.740,1,0
2019-11-25 16:50:04.000,1,0
2019-11-25 16:49:00.000,0,0
2019-11-25 16:49:49.740,1,0
2019-11-25 16:49:54.500,1,0
2019-11-25 16:55:33.500,1,0
2019-11-25 16:53:22.740,1,0
2019-11-25 16:57:04.000,1,0
2019-11-25 17:00:29.500,1,0
2019-11-25 17:00:02.740,1,0
2019-11-25 16:54:28.240,1,0
2019-11-25 16:50:10.240,1,0
2019-11-25 16:59:15.740,1,0
2019-11-25 16:48:51.740,1,0
2019-11-25 16:55:58.240,1,0
2019-11-25 16:48:29.240,1,0
2019-11-25 16:59:12.500,1,0
2019-11-25 16:54:30.500,1,0
2019-11-25 16:56:23.240,1,0
2019-11-25 16:58:15.500,1,0
2019-11-25 16:54:49.000,1,0
2019-11-25 16:50:21.000,1,0
2019-11-25 16:47:34.740,1,0
2019-11-25 16:47:51.500,0,0
2019-11-25 16:57:46.000,1,0
2019-11-25 17:00:15.000,1,0
2019-11-25 16:47:06.240,0,0
2019-11-25 16:54:59.240,1,0
2019-11-25 16:57:58.000,1,0
2019-11-25 16:57:15.740,1,0
2019-11-25 16:48:57.000,0,0
2019-11-25 16:56:00.500,1,0
2019-11-25 16:52:16.500,1,0
2019-11-25 16:47:46.500,0,0
2019-11-25 16:50:02.240,1,0
2019-11-25 16:53:07.500,1,0
2019-11-25 16:58:16.500,1,0
2019-11-25 16:58:25.000,1,0
2019-11-25 16:55:10.500,1,0
2019-11-25 16:55:41.000,1,0
2019-11-25 16:57:04.740,1,0
2019-11-25 16:57:05.740,1,0
2019-11-25 16:58:02.740,1,0
2019-11-25 16:55:23.740,1,0
2019-11-25 16:56:27.740,1,0
2019-11-25 16:49:57.740,1,0
2019-11-25 16:55:48.500,1,0
2019-11-25 16:58:04.500,1,0
2019-11-25 16:47:51.740,0,0
2019-11-25 16:50:06.240,1,0
2019-11-25 16:50:13.740,1,0
2019-11-25 16:55:45.000,1,0
2019-11-25 16:58:07.500,1,0
2019-11-25 16:53:37.000,1,0
2019-11-25 16:49:47.740,1,0
2019-11-25 16:47:48.240,0,0
2019-11-25 16:49:47.240,1,0
2019-11-25 16:59:28.740,1,0
2019-11-25 16:58:00.740,1,0
2019-11-25 16:54:58.740,1,0
2019-11-25 16:48:22.000,1,0
2019-11-25 16:50:18.000,1,0
2019-11-25 16:56:06.240,1,0
2019-11-25 16:59:54.500,1,0
2019-11-25 17:00:46.000,1,0
2019-11-25 16:59:27.240,1,0
2019-11-25 16:55:27.500,1,0
2019-11-25 16:55:35.000,1,0
2019-11-25 16:59:56.500,1,0
2019-11-25 16:57:48.500,1,0
2019-11-25 16:55:28.240,1,0
2019-11-25 16:54:20.000,1,0
2019-11-25 16:58:01.740,1,0
2019-11-25 16:55:04.740,1,0
2019-11-25 17:00:23.000,1,0
2019-11-25 16:55:07.240,1,0
2019-11-25 16:57:16.240,1,0
2019-11-25 16:56:02.000,1,0
2019-11-25 16:53:07.000,1,0
2019-11-25 17:00:17.500,1,0
2019-11-25 16:57:59.740,1,0
2019-11-25 16:57:32.000,1,0
2019-11-25 17:00:00.500,1,0
2019-11-25 16:48:31.000,1,0
2019-11-25 16:52:33.500,1,0
2019-11-25 16:56:28.000,1,0
2019-11-25 16:58:45.240,1,0
2019-11-25 17:00:10.240,1,0
2019-11-25 16:58:04.740,1,0
2019-11-25 16:48:20.500,1,0
2019-11-25 16:48:07.500,0,0
2019-11-25 16:53:33.500,1,0
2019-11-25 16:53:38.500,1,0
2019-11-25 16:56:26.500,1,0
2019-11-25 16:53:06.240,1,0
2019-11-25 16:56:19.240,1,0
2019-11-25 16:55:29.500,1,0
2019-11-25 16:49:04.500,0,0
2019-11-25 16:54:43.000,1,0
2019-11-25 16:47:28.500,1,0
2019-11-25 16:57:19.740,1,0
2019-11-25 16:55:00.500,1,0
2019-11-25 16:58:46.000,1,0
2019-11-25 16:52:12.740,0,0
2019-11-25 16:48:36.240,1,0
2019-11-25 16:57:36.500,1,0
2019-11-25 16:47:33.000,1,0
2019-11-25 16:59:13.740,1,0
2019-11-25 16:56:43.000,1,0
2019-11-25 16:58:04.000,1,0
2019-11-25 16:57:45.240,1,0
2019-11-25 16:57:57.500,1,0
2019-11-25 16:55:01.740,1,0
2019-11-25 16:56:22.500,1,0
2019-11-25 16:54:17.740,1,0
2019-11-25 16:53:10.740,1,0
2019-11-25 16:56:32.500,1,0
2019-11-26 16:57:15.000,1,0
2019-11-26 16:55:01.000,1,0
2019-11-26 16:56:20.740,1,0
